kind;status;detail
felt_section;replaced;Replaced compact public Felt/interaktive Vertiefung section.
iframe;none;No iframe tags found.
felt_link;none;No Felt anchor tags found.
text_cleanup;replaced;Replaced source label. (1x)
text_cleanup;replaced;Replaced source-register Felt-Embed phrase. (1x)
remaining_provider_sentence;removed;<p>     Die Hektarbilanz basiert auf der ursprünglichen GIS-Verschneidung von FIONA 2024,     BK50-Moor-/Feuchtbodenkontext und GISCO NUTS 2024. Die für Felt/mapshaper     vereinfachte Web-Geometrie w
